,BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,source,category
52,Kotty,Men Low-Rise Cargo Jeans,Rs. 1999,Rs. 579,4.2,1.8k,MyntraJeansMens,Jeans
53,HIGHLANDER,Men Relaxed Fit Mid-Rise Jeans,Rs. 2749,Rs. 494,3.6,249,MyntraJeansMens,Jeans
54,Levis,Men 511 Slim Fit Jeans,Rs. 2899,Rs. 1217,4.3,237,MyntraJeansMens,Jeans
55,Roadster,Men Pure Cotton Jeans,Rs. 2499,Rs. 974,3.6,817,MyntraJeansMens,Jeans
56,Roadster,Stretchable Jeans,Rs. 2499,Rs. 899,4,1.1k,MyntraJeansMens,Jeans
57,glitchez,Men Wide Leg Jeans,Rs. 1999,Rs. 699,3.3,127,MyntraJeansMens,Jeans
58,HIGHLANDER,Men Relaxed Fit Cotton Jeans,Rs. 2399,Rs. 455,3.6,2.6k,MyntraJeansMens,Jeans
59,Style Quotient,Men Cotton Cargo Jeans,Rs. 2999,Rs. 989,4.3,2.7k,MyntraJeansMens,Jeans
60,Levis,Men Regular Fit Mid-Rise Jeans,Rs. 3399,Rs. 1869,4.5,57,MyntraJeansMens,Jeans
61,Bene Kleed,Relaxed Fit Denim Jeans,Rs. 2299,Rs. 804,4,4.6k,MyntraJeansMens,Jeans
62,Urbano Fashion,Men Slim Fit Jeans,Rs. 1399,Rs. 489,4,22k,MyntraJeansMens,Jeans
63,H&M,Straight Regular Jeans,0,0,4.1,40,MyntraJeansMens,Jeans
64,Roadster,Men Slim Fit Jeans,Rs. 999,Rs. 489,3.9,793,MyntraJeansMens,Jeans
65,HIGHLANDER,Men Fit Mid rise Jeans,Rs. 2199,Rs. 395,3.8,706,MyntraJeansMens,Jeans
66,SPYKAR,Men Regular Fit Cotton Jeans,Rs. 2799,Rs. 1399,3.9,34,MyntraJeansMens,Jeans
67,Mast & Harbour,Men Relaxed Fit Jeans,Rs. 3399,Rs. 883,4.1,605,MyntraJeansMens,Jeans
68,HERE&NOW,Men Regular Fit Jeans,Rs. 2099,Rs. 818,4,281,MyntraJeansMens,Jeans
69,H&M,Loose Straight Jeans,0,0,0,0,MyntraJeansMens,Jeans
70,Stylecast X Kotty,Men Regular Fit Mid-Rise Jeans,Rs. 1999,Rs. 479,3.1,43,MyntraJeansMens,Jeans
71,Levis,Men 511 Slim Fit Jeans,Rs. 3299,Rs. 1220,4.3,259,MyntraJeansMens,Jeans
72,SELECTED,Men Slim Fit Stretchable Jeans,Rs. 4999,Rs. 3249,4.1,45,MyntraJeansMens,Jeans
73,The Indian Garage Co,Men Slim Fit Jeans,Rs. 2299,Rs. 620,4.1,2.1k,MyntraJeansMens,Jeans
74,HIGHLANDER,Men Relaxed Fit Jeans,Rs. 2699,Rs. 512,3,125,MyntraJeansMens,Jeans
75,French Connection,Men Stretchable Jeans,Rs. 3099,Rs. 1177,4.9,8,MyntraJeansMens,Jeans
76,Bene Kleed,Relaxed Fit Denim Jeans,Rs. 2299,Rs. 689,4.1,5.1k,MyntraJeansMens,Jeans
